geneID,name
DDB_G0287815,DDB_G0287815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0269800,DDB_G0269800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0285513,asf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0292444,DDB_G0292444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0277405,DDB_G0277405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0269554,suvA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0278851,DDB_G0278851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0291752,smc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0276101,smc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0283681,DDB_G0283681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0283099,DDB_G0283099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0276977,rad21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0275929,pds5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0279959,eco1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0293070,DDB_G0293070
DDB_G0293032,DDB_G0293032
DDB_G0268660,DDB_G0268660
DDB_G0270814,nek2
DDB_G0285849,spc97
DDB_G0283909,spc98
DDB_G0272869,sun1
DDB_G0268212,DDB_G0268212
DDB_G0275495,DDB_G0275495
DDB_G0283111,DDB_G0283111
DDB_G0285313,DDB_G0285313
DDB_G0285357,DDB_G0285357
DDB_G0288475,DDB_G0267726
DDB_G0288475,DDB_G0288475
DDB_G0276531,DDB_G0276531
DDB_G0267728,a
DDB_G0267726,a
DDB_G0268332,a
collective gene,a
DDB_G0271254,
DDB_G0281187,b
DDB_G0281193,b
DDB_G0281199,b
DDB_G0281201,b
collective gene,b
DDB_G0281613,c
DDB_G0281617,c
collective gene,c
DDB_G0277415,d
DDB_G0277417,d
DDB_G0277421,d
DDB_G0277423,d
DDB_G0277425,d
collective,d
DDB_G0284499,smc2
DDB_G0286403,smc4
DDB_G0293984,ncapD2
DDB_G0275129,ncapGb
DDB_G0281419,ncapGa
DDB_G0292066,ncapH
DDB_G0278701,ncapD3
DDB_G0288819,ncapG2
DDB_G0291894,ncapH2
DDB_G0288873,pich
DDB_G0290919,smc5
DDB_G0288993,smc6
DDB_G0289341,DDB_G0289341
DDB_G0281889,tubA2
DDB_G0271738,tubC
DDB_G0268516,tbcD
DDB_G0271286,clasp
DDB_G0283607,eb1
DDB_G0267396,kif2
DDB_G0285101,kif4
DDB_G0267404,kif6
DDB_G0293198,kif10
DDB_G0291039,kif11
DDB_G0268258,kif12
DDB_G0288361,kif13
DDB_G0283771,DDB_G0283771
DDB_G0274943,ranB
DDB_G0285871,DDB_G0285871
DDB_G0293620,DDB_G0293620
DDB_G0283023,hcpA
DDB_G0282987,hcpB
DDB_G0289421,DDB_G0289421
DDB_G0284013,spc25
DDB_G0279553,nuf2
DDB_G0284003,ndc80
DDB_G0286465,DDB_G0286465
DDB_G0283381,DDB_G0283381
DDB_G0288223,anapc3
DDB_G0286233,anapc6
DDB_G0280113,anapc5
DDB_G0292470,anapc7
DDB_G0285223,anapc4
DDB_G0272775,anapc8
DDB_G0268992,anapc10
DDB_G0273201,DDB_G0273201
DDB_G0292676,bub1
DDB_G0292134,bub3
DDB_G0285601,cdc20
DDB_G0278775,ube2c
DDB_G0280995,mps1
DDB_G0290325,espl1
DDB_G0280249,DDB_G0280249
DDB_G0285931,dlpB
DDB_G0271628,dlpC
DDB_G0267690,icpA
DDB_G0290551,rblA
DDB_G0276799,tfdp2
DDB_G0281519,lin54
DDB_G0286665,lin9
DDB_G0276877,mybK
DDB_G0290787,mybO
DDB_G0271204,DDB_G0271204
DDB_G0277331,DDB_G0277331
DDB_G0272740,DDB_G0272740
DDB_G0280079,DDB_G0280079
DDB_G0274491,DDB_G0274491
DDB_G0285869,DDB_G0285869
DDB_G0279459,DDB_G0279459
DDB_G0269732,DDB_G0269732
DDB_G0290591,DDB_G0290591
DDB_G0280685,DDB_G0280685
DDB_G0267958,DDB_G0267958
DDB_G0278469,DDB_G0278469
DDB_G0285837,DDB_G0285837
DDB_G0290591,DDB_G0290591
DDB_G0279331,gtaR
DDB_G0290665,gtaX
DDB_G0290955,transposon Tdd-5
DDB_G0277765,DDB_G0277765
DDB_G0277779,DDB_G0277779
DDB_G0294144,DDB_G0294144
DDB_G0286015,gmsA
DDB_G0269202,gdcA
DDB_G0287323,DDB_G0287323
DDB_G0291856,gerD
DDB_G0276967,racF2
DDB_G0288533,macA
DDB_G0290261,GP138C
DDB_G0290265,GP138D
DDB_G0276479,ctnC
DDB_G0290993,DDB_G0290993
DDB_G0285615,iliA
DDB_G0287717,iliD
DDB_G0281853,iliL
DDB_G0284295,iliG
DDB_G0271068,iliC
DDB_G0278649,iliK
DDB_G0291520,iliO
DDB_G0273197,alyD-1
DDB_G0290835,DDB_G0290835
DDB_G0283787,DDB_G0283787
DDB_G0293446,DDB_G0293446
DDB_G0269322,DDB_G0269322
DDB_G0269354,DDB_G0269354
DDB_G0272336,DDB_G0272336
DDB_G0272592,DDB_G0272592
DDB_G0272606,DDB_G0272606
DDB_G0272849,DDB_G0272849
DDB_G0273087,DDB_G0273087
DDB_G0274895,DDB_G0274895
DDB_G0276035,DDB_G0276035
DDB_G0280779,DDB_G0280779
DDB_G0282701,DDB_G0282701
DDB_G0287183,DDB_G0287183
DDB_G0288813,DDB_G0288813
DDB_G0292238,DDB_G0292238
DDB_G0286247,ponB
DDB_G0267728,uduA3
DDB_G0283395,DDB_G0283395
DDB_G0275579,DDB_G0275579
DDB_G0277741,DDB_G0277741
DDB_G0277739,DDB_G0277739
DDB_G0283555,DDB_G0283555
DDB_G0272688,DDB_G0272688
DDB_G0271916,rtoA
DDB_G0271232,DDB_G0271232_ps
DDB_G0287173,DDB_G0287173_ps
DDB_G0287787,DDB_G0287787_ps
DDB_G0288637,DDB_G0288637_ps
DDB_G0283257,samkE_ps2
DDB_G0277655,DDB_G0277655_ps
DDB_G0276451,DDB_G0276451
DDB_G0267830,gemA
DDB_G0290799,DDB_G0290799
DDB_G0283405,bdp1
DDB_G0288129,DDB_G0288129
DDB_G0267526,DDB_G0267526
DDB_G0284263,DDB_G0284263
DDB_G0269968,DDB_G0269968
DDB_G0291838,DDB_G0291838
DDB_G0273149,DDB_G0273149
DDB_G0267996,DDB_G0267996
DDB_G0285805,DDB_G0285805
DDB_G0277011,DDB_G0277011
DDB_G0289021,ube2s
DDB_G0278797,DDB_G0278797
DDB_G0274813,DDB_G0274813
DDB_G0289257,set1
DDB_G0272130,DDB_G0272130
DDB_G0281085,tfiiiA
DDB_G0280703,DDB_G0280703
DDB_G0292948,isw
DDB_G0277693,DDB_G0277693
DDB_G0278369,DDB_G0278369
DDB_G0284191,DDB_G0284191
DDB_G0290209,med10
DDB_G0288015,arrH
DDB_G0280621,arrJ
DDB_G0280633,arrK
DDB_G0288697,DDB_G0288697
DDB_G0289461,DDB_G0289461
DDB_G0287685,cinC
DDB_G0278125,DDB_G0278125
DDB_G0273091,DDB_G0273091
DDB_G0293380,DDB_G0293380
DDB_G0269208,abcG19
DDB_G0275621,DDB_G0275621
DDB_G0273343,DDB_G0273343
DDB_G0291822,wdr92
DDB_G0285535,DDB_G0285535
DDB_G0277839,cxgS
DDB_G0274285,act20
DDB_G0279995,DDB_G0279995
DDB_G0280445,DDB_G0280445
DDB_G0274215,DDB_G0274215
DDB_G0272877,DDB_G0272877
DDB_G0287987,elp
DDB_G0268446,DDB_G0268446
DDB_G0271970,DDB_G0271970
DDB_G0270496,DDB_G0270496
DDB_G0285895,gdt5
DDB_G0284519,forI
DDB_G0295827,DDB_G0295827
DDB_G0292880,DDB_G0292880
DDB_G0285449,DDB_G0285449
DDB_G0290467,pks27
DDB_G0290469,pks28
DDB_G0275475,DDB_G0275475
DDB_G0277127,DDB_G0277127
DDB_G0295701,DDB_G0295701
DDB_G0272610,DDB_G0272610
DDB_G0272777,DDB_G0272777
DDB_G0292004,docC
DDB_G0272368,DDB_G0272368
DDB_G0289761,DDB_G0289761
DDB_G0277967,DDB_G0277967
DDB_G0293396,gxcO
DDB_G0295811,DDB_G0295811
DDB_G0292434,DDB_G0292434
DDB_G0290373,DDB_G0290373
DDB_G0278431,DDB_G0278431
DDB_G0267502,DDB_G0267502
DDB_G0269228,DDB_G0269228
DDB_G0283923,DDB_G0283923
DDB_G0270072,DDB_G0270072
DDB_G0285953,DDB_G0285953
DDB_G0295729,DDB_G0295729
DDB_G0288183,roco9
DDB_G0274259,DDB_G0274259
DDB_G0286625,DDB_G0286625
DDB_G0291684,pks41
DDB_G0285895,gdt5
DDB_G0276015,DDB_G0276015
DDB_G0295819,DDB_G0295819
DDB_G0279817,DDB_G0279817
DDB_G0286423,DDB_G0286423
DDB_G0293426,DDB_G0293426
DDB_G0279501,DDB_G0279501
DDB_G0285183,DDB_G0285183
DDB_G0292274,DDB_G0292274
DDB_G0279499,DDB_G0279499
DDB_G0292292,DDB_G0292292
DDB_G0270920,DDB_G0270920
DDB_G0272921,DDB_G0272921
DDB_G0275927,DDB_G0275927
DDB_G0278985,DDB_G0278985
DDB_G0287115,DDB_G0287115
DDB_G0286333,DDB_G0286333
DDB_G0291806,DDB_G0291806
DDB_G0270920,DDB_G0270920
DDB_G0286379,DDB_G0286379
DDB_G0268590,DDB_G0268590
DDB_G0278073,DDB_G0278073
DDB_G0278825,DDB_G0278825
DDB_G0283999,DDB_G0283999
DDB_G0286441,DDB_G0286441
DDB_G0286591,DDB_G0286591
DDB_G0286745,DDB_G0286745
DDB_G0288059,DDB_G0288059
DDB_G0288125,DDB_G0288125
DDB_G0282123,DDB_G0282123
DDB_G0289673,DDB_G0289673
DDB_G0287431,DDB_G0287431
DDB_G0285671,DDB_G0285671
DDB_G0269180,rcdP
DDB_G0267750,DDB_G0267750
DDB_G0267828,DDB_G0267828
DDB_G0292674,DDB_G0292674
DDB_G0274947,DDB_G0274947
DDB_G0290019,DDB_G0290019
DDB_G0288329,DDB_G0288329
DDB_G0291904,DDB_G0291904
DDB_G0290301,DDB_G0290301
DDB_G0284115,DDB_G0284115
DDB_G0287991,DDB_G0287991
DDB_G0275523,DDB_G0275523
DDB_G0285619,DDB_G0285619
DDB_G0283477,DDB_G0283477
DDB_G0269612,DDB_G0269612
DDB_G0272534,DDB_G0272534
DDB_G0288887,DDB_G0288887
DDB_G0274435,DDB_G0274435
DDB_G0268874,DDB_G0268874
DDB_G0275487,DDB_G0275487
DDB_G0286741,DDB_G0286741
DDB_G0273233,DDB_G0273233
DDB_G0282567,DDB_G0282567
DDB_G0290897,DDB_G0290897
DDB_G0278513,DDB_G0278513
DDB_G0287191,DDB_G0287191
DDB_G0290143,DDB_G0290143
DDB_G0275605,DDB_G0275605
DDB_G0276277,DDB_G0276277
DDB_G0277489,DDB_G0277489
DDB_G0293066,DDB_G0293066
DDB_G0274655,DDB_G0274655
DDB_G0272642,DDB_G0272642
DDB_G0277599,DDB_G0277599
DDB_G0285551,DDB_G0285551
DDB_G0294392,DDB_G0294392
DDB_G0272640,DDB_G0272640
DDB_G0269954,DDB_G0269954
DDB_G0278987,DDB_G0278987
DDB_G0279531,DDB_G0279531
DDB_G0267896,DDB_G0267896
DDB_G0278865,DDB_G0278865
DDB_G0283101,DDB_G0283101
DDB_G0273179,DDB_G0273179
DDB_G0267312,DDB_G0267312
DDB_G0272572,DDB_G0272572
DDB_G0273133,DDB_G0273133
DDB_G0273289,DDB_G0273289
DDB_G0279651,DDB_G0279651
DDB_G0293954,DDB_G0293954
DDB_G0285923,DDB_G0285923
DDB_G0270554,DDB_G0270554
DDB_G0284637,DDB_G0284637
DDB_G0290863,DDB_G0290863
DDB_G0285627,DDB_G0285627
DDB_G0270394,DDB_G0270394
DDB_G0292316,DDB_G0292316
DDB_G0285929,DDB_G0285929
DDB_G0288279,DDB_G0288279
